"Date","Price","Open","High","Low","Change %"
"Jan 01, 2018","0.8328","0.8328","0.8328","0.8328","0.00%"
"Dec 29, 2017","0.8328","0.8359","0.8359","0.8320","-0.37%"
"Dec 28, 2017","0.8359","0.8395","0.8396","0.8355","-0.43%"
"Dec 27, 2017","0.8395","0.8377","0.8396","0.8372","0.19%"
"Dec 26, 2017","0.8379","0.8368","0.8392","0.8361","0.14%"
"Dec 25, 2017","0.8367","0.8413","0.8414","0.8364","-0.56%"
"Dec 22, 2017","0.8414","0.8424","0.8425","0.8400","-0.09%"
"Dec 21, 2017","0.8422","0.8409","0.8423","0.8379","0.15%"
"Dec 20, 2017","0.8409","0.8450","0.8450","0.8404","-0.49%"
"Dec 19, 2017","0.8450","0.8465","0.8467","0.8442","-0.18%"
"Dec 18, 2017","0.8465","0.8461","0.8469","0.8460","0.05%"
"Dec 15, 2017","0.8461","0.8466","0.8466","0.8456","-0.06%"
"Dec 14, 2017","0.8466","0.8478","0.8479","0.8456","-0.15%"
"Dec 13, 2017","0.8479","0.8480","0.8484","0.8475","-0.02%"
"Dec 12, 2017","0.8481","0.8478","0.8484","0.8472","0.04%"
"Dec 11, 2017","0.8478","0.8480","0.8480","0.8470","-0.06%"
"Dec 08, 2017","0.8483","0.8477","0.8484","0.8472","0.06%"
"Dec 07, 2017","0.8478","0.8468","0.8480","0.8467","0.14%"
"Dec 06, 2017","0.8466","0.8467","0.8473","0.8463","-0.02%"
"Dec 05, 2017","0.8468","0.8468","0.8472","0.8460","0.01%"
"Dec 04, 2017","0.8467","0.8467","0.8473","0.8461","-0.04%"
"Dec 01, 2017","0.8470","0.8467","0.8475","0.8460","0.04%"
"Nov 30, 2017","0.8467","0.8469","0.8479","0.8461","0.02%"
"Nov 29, 2017","0.8465","0.8464","0.8468","0.8448","-0.04%"
"Nov 28, 2017","0.8468","0.8460","0.8474","0.8450","0.12%"
"Nov 27, 2017","0.8458","0.8452","0.8468","0.8448","0.02%"
"Nov 24, 2017","0.8456","0.8426","0.8465","0.8420","0.33%"
"Nov 23, 2017","0.8428","0.8467","0.8468","0.8420","-0.41%"
"Nov 22, 2017","0.8463","0.8485","0.8493","0.8461","-0.29%"
"Nov 21, 2017","0.8488","0.8492","0.8507","0.8486","-0.08%"
"Nov 20, 2017","0.8495","0.8488","0.8502","0.8486","0.13%"
"Nov 17, 2017","0.8484","0.8489","0.8497","0.8479","-0.07%"
"Nov 16, 2017","0.8490","0.8485","0.8506","0.8482","0.06%"
"Nov 15, 2017","0.8485","0.8508","0.8509","0.8475","-0.24%"
"Nov 14, 2017","0.8505","0.8511","0.8517","0.8503","-0.08%"
"Nov 13, 2017","0.8512","0.8514","0.8527","0.8510","-0.02%"
"Nov 10, 2017","0.8514","0.8514","0.8520","0.8507","0.00%"
